Id,Title,Merchant,Categories,Description,Terms,Coupon Code,URL,Status,Start Date,End Date,Offer Added At,Image URL,Campaign ID,Campaign Name
88914,"Jabra In-Ear Passive Noise Cancellation Truly Wireless Earbuds with Mic (Bluetooth 5.2, Elite 2, Navy Blue) Just Rs.3999",Croma Retail,Electronics,,,,https://linksredirect.com/?pub_id=40963&url=https://www.croma.com/jabra-in-ear-passive-noise-cancellation-truly-wireless-earbuds-with-mic-bluetooth-5-2-elite-2-navy-blue-/p/244432,live,2022-01-21,2022-01-31,21/01/2022,https://cdn0.cuelinks.com/campaigns/201/original/Croma_Retail.png?1493190022,201,Croma Retail
88915,Buy Smart TVs starting from Rs.16990,Croma Retail,Electronics,,,,https://linksredirect.com/?pub_id=40963&url=https://www.croma.com/oneplus-televisions-&-accessories/bc/b-0948-997?q=%3Aprice-asc%3AZAStatusFlag%3Atrue%3AskuStockFlag%3Atrue%3AallCategories%3A997%3AmanufacturerAID%3Ab-0948%3AexcludeOOSFlag,live,2022-01-21,2022-01-31,21/01/2022,https://cdn0.cuelinks.com/campaigns/201/original/Croma_Retail.png?1493190022,201,Croma Retail
88916,Family Face Protection Combo Just Rs.499,RxSafe,Health & Beauty,,,,https://linksredirect.com/?pub_id=40963&url=https://rxsafe.in/product/family-face-protection-combo/,live,2022-01-21,2022-01-31,21/01/2022,https://cdn0.cuelinks.com/campaigns/4623/original/New_Project_-_2022-01-13T184636.845.png?1642079855,4623,Rxsafe
88917,Safe Meal Combo Just Rs.499,RxSafe,Health & Beauty,,,,https://linksredirect.com/?pub_id=40963&url=https://rxsafe.in/product/safe-meal-combo/,live,2022-01-21,2022-01-31,21/01/2022,https://cdn0.cuelinks.com/campaigns/4623/original/New_Project_-_2022-01-13T184636.845.png?1642079855,4623,Rxsafe
88918,Get upto 60% off on Mens Fashion,AliExpress,Fashion,,,,https://linksredirect.com/?pub_id=40963&url=https://www.aliexpress.com/campaign/wow/gcp/ae/channel/ae/accelerate/tupr?spm=a2g0o.home.0.0.650c2145QS6VAv&wh_weex=true&_immersiveMode=true&wx_navbar_hidden=true&wx_navbar_transparent=true&ignoreNavigationBar=true&wx_statusbar_hidden=true&wh_pid=ae%2Fdaily%2Fae%2Ffahion_dailypromo_202109_202202%2Fd8XMMJ4d7A,live,2022-01-21,2022-01-26,21/01/2022,https://cdn0.cuelinks.com/campaigns/763/original/AliExpress.png?1489062038,763,AliExpress
88919,Get upto 20% off on Womens Clothing,AliExpress,Fashion,,,,https://linksredirect.com/?pub_id=40963&url=https://www.aliexpress.com/campaign/wow/gcp/ae/channel/ae/accelerate/tupr?spm=a2g0o.home.0.0.650c2145QS6VAv&wh_weex=true&_immersiveMode=true&wx_navbar_hidden=true&wx_navbar_transparent=true&ignoreNavigationBar=true&wx_statusbar_hidden=true&wh_pid=ae%2Fdaily%2Fae%2Ffahion_dailypromo_202109_202202%2FSave_on_women_clothing,live,2022-01-21,2022-01-26,21/01/2022,https://cdn0.cuelinks.com/campaigns/763/original/AliExpress.png?1489062038,763,AliExpress
88921,GET FLAT 26% OFF + FREE Under Eye Cream on all your favorite Soulflower products,Soulflower,Health & Beauty,,,REPUBLIC,https://linksredirect.com/?pub_id=40963&url=https://www.soulflower.biz/,live,2022-01-21,2022-01-26,21/01/2022,https://cdn0.cuelinks.com/campaigns/3468/original/soulflower.png?1513665109,3468,Soulflower
88922,All Snacks At Rs. 49 And Rs. 149 Only - The Big Deal,Snackible,Food & Grocery,,This Offer is Applicable on the sale Products Only,,https://linksredirect.com/?pub_id=40963&url=https://www.snackible.com/,live,2022-01-21,2022-01-31,21/01/2022,https://cdn0.cuelinks.com/campaigns/4140/original/Snack.png?1596434142,4140,Snackible
88927,Get upto 20% OFF on Skin care,WOW,Health & Beauty,,,,https://linksredirect.com/?pub_id=40963&url=https://www.buywow.in/collections/skin-care,live,2022-01-21,2022-01-26,21/01/2022,https://cdn0.cuelinks.com/campaigns/4196/original/New_Project_%2846%29_%281%29.png?1603361251,4196,WOW
88931,FLAT 35% OFF Sitewide,Dr. Sheths,Health & Beauty,,,REPUBLIC35,https://linksredirect.com/?pub_id=40963&url=https://www.drsheths.com/collections/all,live,2022-01-21,2022-01-27,21/01/2022,https://cdn0.cuelinks.com/campaigns/4247/original/New_Project_%2866%29_%281%29.png?1605785221,4247,Dr. Sheths
88932,Buy Bras Under Rs.799,Zivame,Fashion,,,,https://linksredirect.com/?pub_id=40963&url=https://www.zivame.com/bras.html?price=0-800&trksrc=hpbanner&trkid=Bras-Under-799,live,2022-01-21,2022-01-26,21/01/2022,https://cdn0.cuelinks.com/campaigns/146/original/zivame.png?1554962213,146,Zivame
88933,Buy 4- Rs.999 Sale,Zivame,Fashion,,,,https://linksredirect.com/?pub_id=40963&url=https://www.zivame.com/buy-4-for-999.html?trksrc=hpbanner&trkid=4-At-999,live,2022-01-21,2022-01-26,21/01/2022,https://cdn0.cuelinks.com/campaigns/146/original/zivame.png?1554962213,146,Zivame
88934,Buy Starting From Rs.180 Sale,Zivame,Fashion,,,,https://linksredirect.com/?pub_id=40963&url=https://www.zivame.com/promo-2.html?brand=Coucou&trksrc=hpbanner&trkid=Coucou---New-Arrivals,live,2022-01-21,2022-01-26,21/01/2022,https://cdn0.cuelinks.com/campaigns/146/original/zivame.png?1554962213,146,Zivame
88935,Get upto 60% off Sale,Firstcry,Baby & Kids,,,,https://linksredirect.com/?pub_id=40963&url=https://www.firstcry.com/boutique/seasons-best-for-babies-up-to-24m/25900?ref2=homepage,live,2022-01-21,2022-01-31,21/01/2022,https://cdn0.cuelinks.com/campaigns/49/original/FC-Logo-big_store_tagline.png?1582718900,49,Firstcry
88936,Get upto 55% off Sale,Firstcry,Baby & Kids,,,,https://linksredirect.com/?pub_id=40963&url=https://www.firstcry.com/boutique/warm-and-cozy-up-to-24m/25909?ref2=homepage,live,2022-01-21,2022-01-31,21/01/2022,https://cdn0.cuelinks.com/campaigns/49/original/FC-Logo-big_store_tagline.png?1582718900,49,Firstcry
88937,Get upto 45% off Sale,Firstcry,Baby & Kids,,,,https://linksredirect.com/?pub_id=40963&url=https://www.firstcry.com/boutique/wardrobe-staple-up-to-4y/25898?ref2=homepage,live,2022-01-21,2022-01-31,21/01/2022,https://cdn0.cuelinks.com/campaigns/49/original/FC-Logo-big_store_tagline.png?1582718900,49,Firstcry
88938,Get upto 70% off on Sports Wear,ShopClues,Fashion,,,,https://linksredirect.com/?pub_id=40963&url=https://www.shopclues.com/ruggstar-1.html,live,2022-01-21,2022-01-26,21/01/2022,https://cdn0.cuelinks.com/campaigns/152/original/Shopclues.png?1493899872,152,ShopClues
88939,Get upto 80% off on Mens Trandy Wear,ShopClues,Fashion,,,,https://linksredirect.com/?pub_id=40963&url=https://www.shopclues.com/mens-fashion-wear.html,live,2022-01-21,2022-01-26,21/01/2022,https://cdn0.cuelinks.com/campaigns/152/original/Shopclues.png?1493899872,152,ShopClues
88940,Get upto 90% off on Kids Clothing,ShopClues,Fashion,,,,https://linksredirect.com/?pub_id=40963&url=https://www.shopclues.com/kids-appeals.html,live,2022-01-21,2022-01-26,21/01/2022,https://cdn0.cuelinks.com/campaigns/152/original/Shopclues.png?1493899872,152,ShopClues
